Classes = 1,2,3,4,5,7
Attributes = A1{Floating_Point},A2{Floating_Point},A3{Floating_Point},A4{Floating_Point}
53,53,74,58,5
53,53,74,65,5
53,53,74,69,5
53,49,78,73,5
50,49,89,87,2
47,37,105,115,2
42,29,114,129,2
44,29,119,133,2
47,37,101,101,2
47,40,93,94,2
50,40,82,80,2
97,111,115,94,3
97,111,111,91,3
88,102,106,83,3
88,98,102,83,3
84,98,102,79,3
84,102,102,79,3
84,102,102,83,3
84,98,106,83,3
88,98,106,87,3
88,106,106,87,3
88,106,106,87,3
92,111,115,91,3
97,115,115,91,3
101,115,120,94,3
97,111,115,87,3
80,89,98,72,3
60,59,98,91,2
64,73,98,83,2
57,55,98,98,2
60,69,102,87,2
68,73,78,65,7
64,73,74,54,7
64,66,64,54,7
64,69,64,54,7
64,69,71,57,7
64,69,71,54,7
68,69,78,54,7
68,69,71,57,7
68,73,71,57,7
68,73,74,57,7
64,73,74,57,7
68,77,78,61,7
68,77,74,61,7
68,73,78,61,7
68,73,78,57,7
68,73,82,61,7
76,85,86,68,7
80,89,94,72,7
76,81,86,72,7
72,81,90,72,7
72,77,90,72,7
68,77,90,72,7
68,69,86,76,5
68,69,86,72,5
68,73,86,72,5
72,81,86,72,7
72,77,82,68,7
60,59,86,72,5
57,52,90,76,5
57,59,78,68,5
60,59,82,68,5
53,49,82,65,5
57,55,71,61,5
57,55,78,65,5
57,55,82,68,5
53,46,90,83,5
41,31,98,113,2
44,37,102,102,2
50,46,102,102,2
44,31,111,120,2
44,37,115,120,2
47,31,106,105,2
47,37,94,87,2
101,116,122,96,3
97,116,122,96,3
97,112,118,92,3
92,107,113,88,3
92,112,118,92,3
92,112,118,88,3
88,103,108,81,3
88,103,108,88,3
88,107,113,88,3
92,107,108,85,3
92,107,118,92,3
97,112,122,88,3
92,107,113,85,3
84,95,104,74,3
71,83,100,78,2
68,79,100,81,2
68,75,96,78,2
64,75,87,78,2
68,75,83,70,2
71,75,83,63,7
68,71,79,59,7
64,71,75,56,7
64,68,71,52,7
64,71,71,56,7
60,71,75,56,7
64,68,71,52,7
64,75,75,56,7
68,71,71,56,7
64,71,71,59,7
71,75,75,59,7
68,71,67,56,7
68,71,71,59,7
68,75,71,56,7
68,71,75,56,7
68,75,75,59,7
71,75,75,59,7
76,87,83,74,7
71,75,87,74,5
64,71,87,78,5
64,64,87,78,5
64,71,87,74,5
64,71,87,78,5
68,71,87,74,5
68,75,87,74,5
68,75,83,67,5
71,75,83,70,7
71,71,87,74,7
60,61,87,74,5
56,54,83,70,5
56,57,79,70,5
60,61,83,70,5
56,54,83,70,5
60,54,83,70,5
53,45,96,96,2
46,36,100,107,2
43,31,108,117,2
43,31,104,117,2
50,42,96,96,2
40,31,104,110,2
40,31,104,107,2
43,29,113,114,2
46,34,104,103,2
97,116,123,96,3
93,111,118,92,3
93,116,118,96,3
97,111,118,96,3
97,111,118,96,3
97,116,113,92,3
93,111,113,92,3
88,107,109,87,3
88,107,109,92,3
93,111,118,92,3
97,111,109,87,3
97,111,113,87,3
67,72,77,58,7
67,72,70,54,7
67,72,77,58,7
67,72,77,54,7
67,72,77,54,7
63,68,70,54,7
67,68,70,54,7
67,68,70,54,7
67,72,74,54,7
67,72,74,54,7
67,72,77,54,7
67,72,74,54,7
67,68,74,54,7
67,68,74,54,7
67,72,74,58,7
67,72,70,58,7
67,72,70,58,7
71,72,74,58,7
71,75,77,67,7
75,83,85,67,7
75,83,85,71,7
79,95,96,75,7
71,75,93,79,5
67,68,93,79,5
67,68,89,75,5
67,72,81,67,5
67,72,81,67,5
67,68,81,67,5
67,72,85,67,5
67,75,81,67,7
71,79,89,71,7
71,79,93,71,7
67,68,89,75,5
63,61,93,79,5
63,58,85,75,5
63,64,77,62,5
71,75,85,71,4
48,37,104,104,2
48,34,104,108,2
44,29,109,121,2
44,29,104,121,2
51,40,96,96,2
44,34,100,100,2
44,29,100,100,2
44,32,104,104,2
44,32,109,104,2
44,32,109,112,2
99,113,117,96,3
95,118,117,92,3
95,113,117,96,3
104,113,127,96,3
95,113,112,89,3
95,113,112,89,3
90,104,117,89,3
95,109,112,89,3
99,113,117,92,3
95,109,117,89,3
95,109,117,89,3
90,113,112,92,3
90,109,108,89,3
70,75,84,63,7
63,71,69,55,7
63,75,76,59,7
66,75,73,55,7
63,71,73,55,7
66,75,73,59,7
66,79,80,59,7
66,71,73,55,7
66,71,73,55,7
66,71,69,55,7
66,71,73,55,7
66,71,69,55,7
70,71,73,55,7
66,71,73,59,7
70,79,88,66,7
70,79,88,66,7
78,83,84,66,7
78,83,92,70,7
78,83,88,74,7
70,79,96,78,7
70,79,92,81,5
66,71,88,78,5
66,71,92,74,5
66,71,80,66,5
66,71,80,66,5
66,71,80,66,5
66,75,80,70,7
70,79,88,74,4
66,63,80,70,5
66,71,76,63,4
70,79,92,70,4
74,87,96,78,4
46,32,104,111,2
43,32,104,114,2
46,34,104,118,2
40,29,112,122,2
43,27,108,125,2
49,40,96,100,2
49,40,92,92,2
43,29,104,107,2
43,32,100,103,2
96,112,119,90,3
96,112,114,94,3
96,117,119,94,3
96,112,119,94,3
96,112,114,98,3
92,112,119,90,3
92,112,114,90,3
92,112,114,90,3
92,108,114,90,3
96,108,110,90,3
96,117,119,94,3
92,117,114,90,3
92,108,105,86,3
87,99,105,83,3
75,84,90,68,7
75,77,82,57,7
63,70,75,53,7
59,66,72,53,7
63,66,75,57,7
67,73,79,57,7
67,73,75,60,7
67,73,82,60,7
67,81,82,60,7
63,77,75,60,7
71,84,86,64,7
71,81,79,68,7
71,73,82,60,7
67,73,72,57,7
63,70,72,57,7
63,70,68,57,7
71,81,82,64,7
71,81,86,68,7
71,81,79,64,7
67,73,79,60,7
75,81,82,64,7
75,84,82,68,7
75,91,97,75,7
83,99,105,75,7
79,84,93,75,7
67,73,90,75,5
63,70,86,75,5
63,70,82,72,5
63,66,82,68,5
63,70,82,68,5
67,73,86,72,7
71,77,90,72,7
71,81,90,75,4
75,77,86,68,4
67,66,75,60,4
67,66,68,60,4
71,73,75,60,4
71,77,79,64,4
75,81,86,72,4
59,51,101,113,2
42,30,101,120,2
46,32,105,116,2
46,30,110,127,2
46,32,110,120,2
49,40,97,101,2
46,32,110,113,2
42,30,105,116,2
42,32,105,109,2
93,115,114,90,3
97,115,119,94,3
97,115,119,97,3
93,111,114,90,3
93,111,114,94,3
93,111,114,87,3
89,106,110,87,3
82,88,97,73,7
78,84,89,69,7
67,71,74,55,7
67,67,70,48,7
63,67,74,51,7
60,67,78,55,7
63,71,78,55,7
67,71,78,58,7
63,75,78,58,7
67,79,82,62,7
70,75,78,58,7
67,75,82,58,7
63,75,78,58,7
67,75,82,65,7
70,75,78,65,7
67,71,74,58,7
67,75,78,62,7
70,75,82,62,7
70,79,82,65,7
70,79,85,65,7
74,79,82,65,7
74,79,85,62,7
67,79,85,62,7
67,84,89,69,7
78,92,93,73,7
78,92,93,76,7
78,92,93,76,7
70,84,97,80,7
70,75,93,76,5
67,75,89,76,5
67,75,89,80,5
70,75,89,76,5
67,79,89,76,5
70,84,89,73,5
70,79,85,73,7
74,84,89,76,4
74,84,97,76,4
74,88,97,76,4
74,79,89,73,4
67,79,85,65,4
67,75,78,62,4
67,75,78,65,4
70,84,89,76,4
74,79,97,94,2
53,43,105,115,2
47,34,101,111,2
44,31,105,122,2
44,31,110,129,2
42,27,110,129,2
44,29,101,115,2
101,120,120,98,3
92,115,115,94,3
92,111,111,91,3
92,111,115,91,3
88,106,111,91,3
84,106,111,83,4
84,106,111,83,4
80,106,102,79,4
80,94,94,72,7
72,85,82,68,7
64,69,71,54,7
64,69,71,54,7
64,69,74,54,7
64,69,74,57,7
64,73,74,57,7
64,73,74,61,7
64,73,82,61,7
64,73,78,57,7
64,73,78,61,7
68,73,78,57,7
64,73,82,61,7
64,73,78,57,7
64,69,78,61,7
68,73,78,61,7
68,77,82,61,7
68,77,78,61,7
72,81,82,65,7
72,85,86,68,7
76,89,94,76,7
76,98,98,76,7
80,98,98,76,7
80,94,98,76,7
76,85,90,76,7
72,81,90,76,7
72,85,94,79,4
72,85,98,79,4
68,89,94,83,4
72,85,90,76,4
72,81,86,72,4
68,73,78,61,4
64,73,74,65,4
72,81,86,72,4
76,85,98,79,4
68,66,106,98,2
50,37,102,113,2
47,34,106,116,2
44,31,111,124,2
41,29,111,128,2
47,34,102,113,2
47,37,106,116,2
60,66,94,79,2
97,112,118,96,3
101,116,122,96,3
101,112,122,96,3
97,112,122,92,3
92,107,118,88,3
92,107,118,88,3
84,99,104,81,4
84,99,104,81,4
84,99,108,85,4
84,107,113,85,4
84,107,113,85,4
88,103,108,85,4
84,99,104,78,4
76,79,87,63,7
64,75,71,52,7
68,75,75,56,7
64,75,79,59,7
64,75,79,59,7
64,75,75,63,7
68,75,79,56,7
68,75,75,59,7
68,79,79,63,7
68,75,79,59,7
64,75,79,59,7
64,75,75,52,7
64,68,75,56,7
64,71,71,56,7
68,71,71,59,7
68,71,75,56,7
68,75,79,63,7
71,83,83,63,7
76,79,79,67,7
80,87,91,74,7
76,91,96,74,7
76,91,100,74,7
80,87,91,74,7
80,91,100,78,7
71,95,104,81,4
76,91,100,81,4
76,91,96,81,4
76,83,87,67,4
68,83,79,67,4
68,79,83,67,4
71,83,96,74,4
71,87,96,81,2
60,61,104,103,2
46,34,104,110,2
43,36,104,114,2
40,29,113,132,2
40,29,113,128,2
50,45,100,99,2
68,83,87,70,4
71,83,91,70,4
93,116,118,92,3
97,121,123,96,3
97,116,123,100,3
97,116,123,96,3
97,111,118,96,3
93,107,113,87,3
88,107,109,83,4
84,99,109,79,4
84,103,109,79,4
88,107,109,83,4
84,107,113,87,4
88,107,109,87,4
84,99,100,79,4
71,79,85,62,7
67,72,70,50,7
63,68,70,54,7
67,72,74,54,7
67,72,77,54,7
63,72,77,58,7
67,75,77,58,7
67,75,77,58,7
67,72,77,58,7
67,75,74,58,7
67,83,77,58,7
71,79,81,58,7
63,72,74,58,7
71,75,77,54,7
67,75,70,54,7
63,72,74,58,7
67,72,74,58,7
67,72,74,58,7
71,72,85,62,7
71,79,81,67,7
71,79,85,62,7
71,79,85,62,7
71,79,85,62,7
71,79,85,67,7
71,83,85,67,7
71,79,89,71,7
71,87,89,71,7
75,83,89,71,7
75,87,93,75,7
75,87,93,75,4
71,79,85,67,4
55,48,104,108,2
44,32,104,112,2
44,34,109,112,2
41,37,104,116,2
41,29,113,129,2
44,29,113,129,2
48,37,109,112,2
63,64,93,75,2
95,118,122,96,3
99,118,117,96,3
90,109,112,89,3
86,104,112,85,4
86,104,104,85,4
86,104,104,81,4
86,100,108,85,4
86,109,112,89,4
90,109,112,89,4
82,100,100,81,4
78,91,96,70,7
74,83,88,66,7
66,75,76,55,7
66,75,76,55,7
66,75,80,59,7
66,79,76,59,7
70,79,76,59,7
70,79,80,63,7
70,75,80,59,7
66,75,76,59,7
66,75,84,63,7
66,79,80,59,7
66,75,76,59,7
63,71,76,59,7
63,75,80,59,7
66,79,76,59,7
66,79,80,63,7
66,75,76,59,7
63,75,73,55,7
66,75,76,59,7
66,75,80,63,7
66,79,80,63,7
66,79,76,63,7
70,79,80,63,7
66,79,88,63,7
70,83,88,66,7
70,87,92,78,4
70,79,84,70,4
66,79,80,70,4
70,79,80,66,4
70,83,92,74,4
74,83,100,85,2
46,32,108,114,2
46,32,104,114,2
43,29,108,129,2
46,32,108,122,2
52,43,92,92,2
66,67,80,59,4
70,79,84,63,4
96,117,130,98,3
96,117,114,94,3
87,103,105,86,3
92,108,114,90,3
92,108,110,94,4
92,108,110,90,4
83,108,114,86,4
83,103,105,86,4
87,103,105,83,4
83,103,114,86,4
87,112,119,90,4
92,112,114,90,4
87,103,105,83,4
79,88,93,72,7
71,84,82,64,7
71,77,86,68,7
71,81,82,60,7
67,77,75,57,7
67,73,75,57,7
67,73,79,60,7
67,77,86,64,7
67,77,82,60,7
67,77,75,60,7
63,73,82,57,7
63,77,79,60,7
67,73,75,60,7
67,73,72,60,7
63,70,72,57,7
67,81,82,60,7
67,77,86,60,7
67,73,82,60,7
63,73,75,60,7
67,73,72,57,7
67,73,79,60,7
67,73,75,57,7
67,77,75,60,7
67,77,82,60,7
63,77,82,60,7
63,77,79,64,7
67,77,75,60,7
67,84,93,72,4
71,81,90,72,4
71,81,82,75,4
49,37,97,98,2
52,48,90,98,2
59,63,90,75,2
67,70,86,64,4
67,77,86,60,4
82,88,89,73,3
70,84,85,65,3
85,102,105,83,3
97,115,124,101,3
93,120,124,97,3
89,115,114,87,3
85,111,114,87,4
85,106,110,87,4
89,106,105,87,4
85,111,114,90,4
89,106,110,83,4
82,97,101,80,4
78,88,97,73,7
70,79,82,62,7
70,79,85,62,7
67,79,82,62,7
70,79,82,58,7
67,75,78,62,7
67,79,78,62,7
63,71,78,62,7
67,75,78,58,7
67,71,82,62,7
63,75,82,62,7
63,75,78,62,7
63,79,85,62,7
67,79,82,58,7
67,75,82,62,7
67,75,82,58,7
70,79,74,58,7
63,75,74,55,7
63,75,74,62,7
63,71,78,62,7
67,75,78,62,7
67,79,82,65,7
63,79,85,65,7
63,79,89,65,7
60,79,85,65,7
67,97,101,80,1
74,102,114,90,1
74,115,119,101,1
67,84,97,80,4
67,84,93,76,4
70,84,89,76,4
70,67,101,94,2
53,43,97,101,2
53,49,93,90,2
60,56,85,83,2
70,84,89,73,4
74,88,85,73,4
74,84,85,73,4
70,84,93,65,4
64,73,78,54,7
64,73,78,61,7
88,115,125,98,3
97,120,120,102,3
92,120,120,98,3
84,111,111,91,4
88,106,111,87,4
88,106,111,87,4
76,85,94,68,7
76,81,86,65,7
68,81,82,65,7
68,81,82,65,7
72,77,82,61,7
68,77,78,61,7
64,73,78,57,7
68,73,78,61,7
68,77,78,61,7
64,77,78,61,7
68,77,78,61,7
68,77,78,65,7
68,81,78,61,7
68,77,78,61,7
68,77,74,57,7
68,73,74,54,7
68,69,74,57,7
64,69,74,57,7
68,69,74,57,7
64,73,74,57,7
64,77,78,65,7
64,77,82,65,7
64,77,82,65,7
68,94,106,83,1
76,115,120,102,1
72,115,125,98,1
72,115,120,98,1
72,106,111,91,1
64,89,102,79,4
64,81,86,72,4
72,89,90,76,4
72,85,90,76,4
64,73,86,72,4
72,94,86,72,4
76,94,98,76,4
76,98,98,76,4
76,94,98,76,4
76,89,94,72,4
72,85,86,68,4
64,75,79,59,7
64,75,75,59,7
76,99,104,85,3
92,116,122,99,3
88,107,118,92,4
84,107,108,88,4
84,99,108,85,4
84,99,104,81,4
80,91,96,74,4
80,87,91,78,4
71,87,91,63,7
71,83,87,67,7
68,75,75,56,7
68,75,79,59,7
68,75,79,59,7
64,79,79,59,7
64,79,79,63,7
68,79,79,67,7
64,79,79,63,7
71,83,83,67,7
68,79,79,59,7
68,75,79,56,7
64,75,79,59,7
68,79,79,59,7
68,75,75,56,7
68,75,75,59,7
68,71,75,59,7
68,75,75,59,7
64,75,79,59,7
68,79,83,63,7
64,79,83,67,7
64,75,79,63,7
64,75,83,67,7
71,103,118,96,1
76,116,122,99,1
76,112,128,99,1
80,116,128,103,1
76,116,122,96,1
71,112,122,99,1
68,103,118,88,1
71,83,87,70,4
76,91,91,70,4
76,83,87,70,4
68,75,75,63,7
68,83,87,70,4
76,91,100,81,4
76,99,104,81,4
71,91,87,70,4
63,72,77,58,7
67,75,81,58,7
63,75,77,58,7
67,83,85,67,7
79,103,109,87,4
88,107,113,92,4
84,107,109,87,4
84,107,104,83,4
84,103,104,83,4
84,103,104,83,4
84,95,100,79,4
79,95,93,75,4
79,91,96,75,4
75,91,89,75,4
75,91,100,75,4
79,95,93,71,7
79,87,85,67,7
67,79,77,58,7
67,75,77,58,7
67,72,77,58,7
71,75,74,58,7
67,75,77,58,7
67,75,81,62,7
71,87,85,67,7
71,83,85,62,7
67,79,77,62,7
67,75,81,58,7
67,72,77,62,7
67,75,81,58,7
67,75,77,62,7
67,75,81,62,7
67,75,81,62,7
75,111,123,100,1
75,116,128,100,1
75,111,128,100,1
67,107,118,96,1
63,103,113,92,1
67,99,109,87,1
71,79,93,71,7
71,79,85,67,7
67,72,74,58,7
67,72,74,58,7
75,87,96,79,4
79,99,100,79,4
79,95,100,79,4
75,91,96,75,4
75,87,93,71,4
75,91,89,71,4
70,79,80,66,7
66,79,80,59,7
66,75,76,59,7
63,71,73,59,7
78,100,104,85,4
82,104,108,89,4
82,100,104,81,4
86,100,100,81,4
82,96,96,78,4
78,91,96,74,4
78,87,92,70,4
78,91,96,74,4
82,100,104,81,4
78,91,96,74,7
66,79,84,66,7
66,79,80,63,7
70,79,80,63,7
70,75,76,59,7
63,75,76,63,7
63,79,84,63,7
66,79,84,63,7
66,79,80,63,7
66,79,80,63,7
66,75,84,63,7
66,75,84,63,7
63,71,88,70,5
63,63,88,74,5
66,71,88,70,5
70,79,76,59,7
66,79,80,66,7
66,75,84,66,7
66,91,104,81,1
78,113,117,96,1
70,113,127,96,1
66,113,117,100,1
66,113,122,100,1
66,113,127,100,1
74,83,96,74,7
66,71,73,59,7
59,63,66,52,7
59,63,66,55,7
63,63,69,55,7
63,67,69,55,7
63,67,73,59,7
70,83,88,70,4
74,91,92,78,4
74,83,96,74,4
74,87,92,70,4
71,88,93,68,4
67,77,82,64,7
67,81,86,64,7
67,77,79,64,7
67,73,75,60,7
63,77,82,60,7
71,84,90,72,7
83,103,105,83,4
87,99,105,83,4
87,99,101,83,4
87,99,105,79,4
79,99,101,83,4
79,95,101,75,4
75,91,97,72,4
71,81,82,64,7
75,81,86,64,7
71,77,82,64,7
67,77,82,64,7
67,70,90,64,7
67,73,82,64,7
71,73,82,64,7
67,77,82,64,7
67,77,82,64,7
63,70,82,68,5
59,60,90,83,5
59,57,97,86,5
59,57,97,86,5
56,57,97,86,5
59,57,97,86,5
67,77,79,60,7
67,77,82,64,7
75,112,119,101,1
79,112,124,98,1
71,108,124,98,1
67,112,124,98,1
67,112,124,98,1
63,112,124,98,1
63,108,124,101,1
67,108,135,98,1
67,112,130,98,1
67,112,119,98,1
63,91,105,83,1
63,66,62,57,7
63,63,65,53,7
63,66,68,53,7
63,66,72,60,7
63,70,72,60,7
67,70,75,57,7
67,66,72,60,7
59,70,75,60,7
75,88,90,72,4
75,88,90,68,4
67,79,85,65,7
67,79,82,65,7
67,75,78,62,7
74,92,93,76,7
82,97,101,83,4
82,97,105,80,4
78,88,93,76,4
85,102,105,83,4
85,102,101,83,4
82,88,101,76,7
74,88,97,80,7
78,88,93,73,7
78,84,93,69,7
78,88,97,80,7
74,88,97,83,7
74,84,101,83,7
74,88,101,80,7
70,88,93,69,7
67,75,85,62,7
67,75,82,62,7
67,71,82,65,5
63,71,82,65,5
60,60,85,76,5
60,60,93,83,5
60,60,93,87,5
57,56,93,90,5
57,56,97,94,5
53,56,97,90,5
60,56,93,87,5
60,67,78,65,7
74,115,119,101,1
67,106,124,101,1
67,111,119,97,1
63,120,124,101,1
63,115,124,101,1
63,115,124,101,1
67,115,129,104,1
63,106,119,94,1
70,71,78,62,7
63,67,70,58,7
63,71,74,62,7
63,71,78,62,7
67,67,74,62,7
63,75,82,65,7
74,88,89,76,4
74,88,97,73,4
70,88,85,65,4
76,94,94,72,4
76,89,90,68,4
68,77,74,61,7
68,77,78,61,7
64,73,74,61,7
84,102,98,83,4
84,102,102,79,4
76,85,90,72,4
76,94,94,76,4
84,102,102,79,4
72,81,90,65,7
68,69,86,68,7
76,89,98,79,7
80,94,102,76,7
76,85,90,68,7
80,98,98,83,3
84,98,102,83,3
80,98,106,83,3
76,98,102,79,3
68,69,78,65,5
60,59,90,76,5
57,59,98,87,5
57,55,90,83,5
57,55,86,79,5
57,55,86,76,5
57,55,86,72,5
57,59,74,68,5
68,106,115,98,1
72,115,120,98,1
68,111,120,98,1
68,115,125,98,1
68,111,125,98,1
68,115,120,98,1
64,115,125,98,1
60,111,120,98,1
68,115,120,102,1
64,94,102,83,1
68,77,74,61,7
68,77,74,65,7
68,77,74,61,7
68,73,78,65,7
68,69,74,57,7
68,69,74,61,7
68,73,82,65,7
68,77,82,65,7
64,73,78,61,7
76,91,96,74,4
68,79,79,63,7
64,79,83,59,7
64,75,79,59,7
64,75,79,63,7
68,75,79,59,7
68,83,87,70,7
80,91,91,81,4
84,99,104,85,4
76,91,96,74,4
76,91,96,74,4
76,91,96,74,4
68,75,87,67,5
80,95,100,78,7
76,87,91,67,7
71,87,87,70,7
76,91,91,78,7
80,99,104,81,3
80,99,104,78,3
76,91,96,74,7
71,79,83,63,7
60,61,83,70,5
56,57,79,70,5
60,51,83,74,5
56,57,87,78,5
60,57,87,78,5
56,57,83,70,5
56,54,87,78,5
56,64,83,67,5
64,99,104,88,1
68,112,118,96,1
71,112,118,99,1
68,116,122,103,1
64,116,128,103,1
64,116,122,99,1
68,116,128,103,1
68,112,128,96,1
60,91,104,81,1
68,75,79,63,7
64,75,75,63,7
64,75,75,59,7
68,71,75,59,7
68,75,75,59,7
68,75,75,59,7
71,79,87,67,7
71,75,79,59,7
68,75,75,59,7
75,83,89,71,4
71,83,85,67,4
67,79,77,62,7
67,75,77,62,7
67,79,81,62,7
75,87,89,71,7
79,91,93,75,4
84,95,100,79,4
84,95,100,75,4
63,68,85,67,5
75,91,89,71,7
71,79,85,67,7
79,95,104,79,7
75,99,100,79,3
79,99,109,83,3
79,91,96,75,3
59,54,67,54,5
55,51,67,50,5
55,51,67,54,5
59,58,74,62,5
59,58,81,71,5
55,54,85,71,5
55,54,85,71,5
55,54,85,71,5
55,51,81,71,5
59,61,81,67,5
71,111,123,96,1
71,107,123,96,1
67,107,113,96,1
71,116,123,100,1
67,111,123,100,1
67,116,123,100,1
71,111,128,100,1
67,111,123,100,1
71,111,128,100,1
71,116,123,100,1
71,107,118,96,1
67,99,109,83,1
63,75,81,62,7
67,72,77,62,7
67,68,74,58,7
63,68,67,58,7
67,75,74,58,7
63,72,74,62,7
63,75,77,62,7
67,79,81,62,7
74,87,88,70,4
74,83,92,70,4
66,79,84,63,7
66,79,80,63,7
66,79,88,63,7
74,79,84,66,7
82,87,96,78,4
82,96,100,78,4
82,91,96,78,4
66,71,88,74,5
56,53,80,66,5
56,49,80,66,5
56,53,73,66,5
70,79,84,66,7
78,83,88,70,7
74,87,84,66,7
74,79,84,63,7
66,87,84,70,7
78,96,104,81,7
82,100,104,81,3
82,100,104,85,3
82,100,104,85,3
78,91,92,74,3
52,49,66,44,5
52,56,69,55,5
56,60,73,59,5
59,60,76,66,5
59,60,80,70,5
56,53,84,74,5
56,53,84,78,5
52,49,88,78,5
56,56,88,74,5
56,63,84,66,5
63,87,92,81,1
66,104,112,89,1
66,104,112,92,1
66,113,117,92,1
66,109,117,96,1
66,109,112,96,1
66,109,122,100,1
66,109,122,100,1
66,113,127,100,1
66,113,122,100,1
70,113,127,100,1
70,113,122,96,1
63,63,66,55,7
66,71,73,55,7
66,71,73,59,7
66,71,76,59,7
63,67,73,59,7
70,79,84,66,7
71,84,90,68,4
67,84,86,68,7
71,84,86,64,7
67,81,82,64,7
67,77,82,64,7
71,88,93,72,7
83,91,101,79,4
59,54,82,75,5
59,51,79,72,5
75,84,90,68,7
75,88,97,75,7
75,84,93,68,7
79,88,93,75,7
75,88,97,72,7
75,91,101,79,7
79,99,105,83,3
83,99,105,83,3
79,99,105,83,3
75,91,97,68,3
63,66,68,34,5
52,51,62,42,5
49,48,68,49,5
49,54,68,53,5
56,60,75,64,5
56,54,82,72,5
56,51,79,75,5
52,51,82,75,5
52,54,79,68,5
63,99,110,86,1
71,108,119,98,1
67,112,114,98,1
67,108,124,98,1
63,112,130,101,1
71,112,130,101,1
67,112,124,98,1
71,108,130,101,1
71,108,114,90,1
63,66,68,57,7
63,66,68,57,7
67,70,75,57,7
63,66,68,57,7
67,77,75,64,7
74,84,93,69,4
74,84,85,65,4
74,88,93,69,4
78,92,93,73,4
67,84,85,62,7
67,67,93,80,5
60,60,85,80,5
60,56,85,80,5
67,67,78,65,7
70,79,89,65,7
74,88,93,73,7
78,92,101,83,7
82,92,101,76,7
78,88,89,69,3
60,63,67,41,5
50,46,63,44,5
50,49,67,51,5
50,53,74,58,5
50,53,82,69,5
53,53,82,76,5
50,53,78,69,5
50,53,82,65,5
53,56,82,69,5
63,111,124,94,1
67,111,119,97,1
67,111,119,101,1
67,115,119,101,1
67,111,119,94,1
63,111,124,97,1
63,111,124,101,1
63,111,124,101,1
63,111,124,101,1
67,115,129,101,1
67,120,124,97,1
70,111,119,101,1
67,111,119,94,1
67,111,119,97,1
70,97,105,87,1
63,67,70,58,7
63,71,74,58,7
63,71,74,58,7
60,67,70,55,7
60,67,67,58,7
60,63,67,58,7
76,89,94,68,4
72,85,86,68,4
76,85,90,68,4
76,94,94,72,4
68,85,82,65,7
64,77,86,65,7
64,77,82,65,7
68,81,82,65,7
72,89,94,72,7
80,102,106,87,4
76,89,98,79,4
64,66,90,79,5
60,55,82,76,5
57,55,78,72,5
76,89,94,76,7
80,98,102,76,7
80,98,102,76,7
80,94,102,79,7
84,98,111,83,3
80,98,111,83,3
80,98,106,83,3
84,102,111,87,3
76,85,90,61,3
57,59,64,39,5
53,52,71,57,5
53,55,78,68,5
53,52,82,68,5
53,52,78,65,5
53,55,74,57,5
57,55,74,61,5
50,52,74,65,5
50,52,78,65,5
53,52,78,65,5
60,89,102,79,1
68,106,111,91,1
68,111,115,98,1
68,111,115,98,1
68,111,120,98,1
68,111,115,98,1
64,106,125,98,1
64,111,125,102,1
72,115,120,102,1
68,115,120,98,1
68,111,120,98,1
64,111,115,98,1
68,111,120,102,1
68,106,115,94,1
64,89,98,79,1
64,69,71,57,7
60,69,74,54,7
60,69,71,57,7
60,62,67,57,7
64,66,67,57,7
64,62,67,57,7
76,91,96,70,4
76,83,96,70,4
80,87,91,70,4
80,95,91,74,4
71,87,87,70,4
68,83,87,63,7
64,83,83,67,7
68,79,83,63,7
68,83,83,67,7
68,83,87,67,7
80,95,100,81,4
76,83,96,81,5
60,61,75,70,5
60,57,75,67,5
76,87,96,74,7
80,91,100,78,7
80,99,108,85,3
80,99,104,81,3
71,83,87,59,3
53,51,67,52,5
53,54,75,59,5
56,57,79,63,5
53,54,71,59,5
56,57,75,59,5
53,57,79,63,5
53,54,75,67,5
56,54,75,63,5
53,51,75,59,5
53,51,75,59,5
56,68,87,63,5
71,107,118,96,1
71,112,122,96,1
68,112,122,99,1
64,112,122,99,1
64,112,122,99,1
64,116,122,99,1
64,112,128,96,1
64,112,122,96,1
60,107,122,96,1
64,107,118,99,1
68,107,122,99,1
68,116,122,99,1
64,112,122,99,1
68,112,122,103,1
60,68,67,52,7
60,61,67,56,7
64,64,71,56,7
60,68,67,56,7
60,68,67,56,7
64,68,67,52,7
75,91,93,71,4
75,83,89,71,4
75,87,93,67,4
79,91,93,71,4
67,79,85,62,7
67,79,85,67,7
71,79,85,67,7
71,79,85,62,7
71,83,89,67,7
75,87,96,75,4
79,91,96,79,4
79,91,96,75,4
75,79,89,75,5
55,64,81,67,5
67,64,85,67,5
75,87,89,75,7
79,91,96,75,7
79,95,100,79,7
84,103,104,87,3
84,107,113,87,3
79,107,104,87,3
55,54,74,58,5
55,58,77,58,5
55,54,70,58,5
55,58,70,58,5
55,54,74,58,5
55,54,74,58,5
51,54,70,62,5
55,54,81,71,5
55,68,89,71,5
67,91,100,79,1
71,103,109,87,1
71,111,123,100,1
71,107,123,100,1
71,111,123,100,1
67,111,123,100,1
67,107,118,96,1
67,107,123,100,1
71,111,123,100,1
71,111,123,96,1
71,107,118,96,1
67,103,113,96,1
67,107,118,96,1
71,116,118,100,1
71,111,123,104,1
67,111,123,96,1
71,107,118,96,1
71,107,118,96,1
71,111,118,100,1
71,111,123,100,1
71,103,118,96,1
